NOME_MUN,REGIAO,N_MICRO,PIB
CIDADE OCIDENTAL,CENTRO-OESTE,ENTORNO DE BRASILIA,268359
ACREUNA,CENTRO-OESTE,VALE DO RIO DOS BOIS,269558
ANICUNS,CENTRO-OESTE,ANICUNS,277450
PARAUNA,CENTRO-OESTE,VALE DO RIO DOS BOIS,279722
SANTO ANTONIO DO DESCOBERTO,CENTRO-OESTE,ENTORNO DE BRASILIA,280857
BOM JESUS DE GOIAS,CENTRO-OESTE,MEIA PONTE,291006
CORUMBAIBA,CENTRO-OESTE,CATALAO,292535
MOZARLANDIA,CENTRO-OESTE,SAO MIGUEL DO ARAGUAIA,292856
SILVANIA,CENTRO-OESTE,PIRES DO RIO,302568
CAIAPONIA,CENTRO-OESTE,SUDOESTE DE GOIAS,302571
EDEIA,CENTRO-OESTE,VALE DO RIO DOS BOIS,304937
CAVALCANTE,CENTRO-OESTE,CHAPADA DOS VEADEIROS,306231
ALEXANIA,CENTRO-OESTE,ENTORNO DE BRASILIA,327834
MONTIVIDIU,CENTRO-OESTE,SUDOESTE DE GOIAS,335480
JARAGUA,CENTRO-OESTE,ANAPOLIS,347089
NEROPOLIS,CENTRO-OESTE,GOIANIA,359978
BELA VISTA DE GOIAS,CENTRO-OESTE,GOIANIA,363774
SAO LUIS DE MONTES BELOS,CENTRO-OESTE,ANICUNS,379554
PIRACANJUBA,CENTRO-OESTE,MEIA PONTE,384217
PORANGATU,CENTRO-OESTE,PORANGATU,387205
PIRES DO RIO,CENTRO-OESTE,PIRES DO RIO,389730
CACHOEIRA DOURADA,CENTRO-OESTE,MEIA PONTE,415081
URUACU,CENTRO-OESTE,PORANGATU,423797
NOVO GAMA,CENTRO-OESTE,ENTORNO DE BRASILIA,432301
PLANALTINA,CENTRO-OESTE,ENTORNO DE BRASILIA,440330
INHUMAS,CENTRO-OESTE,ANAPOLIS,492679
PALMEIRAS DE GOIAS,CENTRO-OESTE,VALE DO RIO DOS BOIS,496032
SANTA HELENA DE GOIAS,CENTRO-OESTE,SUDOESTE DE GOIAS,537857
ITABERAI,CENTRO-OESTE,ANAPOLIS,592912
